TOPIC,SUBTOPIC,SUBTOPIC_ID,CLASSIFICATION,CLASSIFICATION_ID,GROUP,GROUP_ID,GROUP_ORDER,SUBGROUP,SUBGROUP_ID,SUBGROUP_ORDER,ESTIMATE_TYPE,ESTIMATE_TYPE_ID,TIME_PERIOD,TIME_PERIOD_ID,ESTIMATE,STANDARD_ERROR,ESTIMATE_UCI,ESTIMATE_LCI,FLAG,FOOTNOTE_ID_LIST
"High cholesterol, total, measured",,,Total,0,Total,0,0,20 years and older,1,1,"Percent of population, crude",0,1999-2000,1,17.7,1,20,15.6,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Total,0,Total,0,0,20 years and older,1,1,"Percent of population, crude",0,2001-2002,2,16.4,0.8,18.3,14.6,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Total,0,Total,0,0,20 years and older,1,1,"Percent of population, crude",0,2003-2004,3,17,0.6,18.4,15.6,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Total,0,Total,0,0,20 years and older,1,1,"Percent of population, crude",0,2005-2006,4,15.9,0.8,17.6,14.3,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Total,0,Total,0,0,20 years and older,1,1,"Percent of population, crude",0,2007-2008,5,14.6,0.8,16.4,12.9,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Total,0,Total,0,0,20 years and older,1,1,"Percent of population, crude",0,2009-2010,6,13.6,0.7,15.1,12.2,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Total,0,Total,0,0,20 years and older,1,1,"Percent of population, crude",0,2011-2012,7,13.1,0.8,14.9,11.5,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Total,0,Total,0,0,20 years and older,1,1,"Percent of population, crude",0,2013-2014,8,11.1,0.5,12.2,10.1,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Total,0,Total,0,0,20 years and older,1,1,"Percent of population, crude",0,2015-2016,9,12.5,0.9,14.5,10.7,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Total,0,Total,0,0,20 years and older,1,1,"Percent of population, crude",0,2017-2018,10,10.5,0.8,12.4,8.9,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,20-29 years,2,2,"Percent of population, crude",0,1999-2000,1,8.6,1.1,11.3,6.3,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,20-29 years,2,2,"Percent of population, crude",0,2001-2002,2,7.9,0.9,10.1,6,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,20-29 years,2,2,"Percent of population, crude",0,2003-2004,3,7.5,1.2,10.4,5.1,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,20-29 years,2,2,"Percent of population, crude",0,2005-2006,4,8,1.5,11.8,5.1,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,20-29 years,2,2,"Percent of population, crude",0,2007-2008,5,6.5,0.9,8.8,4.7,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,20-29 years,2,2,"Percent of population, crude",0,2009-2010,6,5,1.1,7.8,3,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,20-29 years,2,2,"Percent of population, crude",0,2011-2012,7,5.2,1.1,8.1,3.1,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,20-29 years,2,2,"Percent of population, crude",0,2013-2014,8,3.9,1,6.8,2,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,20-29 years,2,2,"Percent of population, crude",0,2015-2016,9,5.1,0.9,7.3,3.4,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,20-29 years,2,2,"Percent of population, crude",0,2017-2018,10,6.5,1.1,9.3,4.4,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,30-39 years,3,3,"Percent of population, crude",0,1999-2000,1,13,2.1,18.3,8.7,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
